"model","n","B","conv_raw_pct","conv_ew_pct","conv_qu_pct","mean_nll_gap_ew","mean_nll_gap_qu"
"exp",10000,10,100,100,100,0.0410601554635341,0.0639225295840888
"exp",10000,20,100,100,100,0.0096948178849716,0.029402988131048
"exp",10000,50,100,100,100,0.00150123986942071,0.0108104631729839
"exp",10000,100,100,100,100,0.000333375138523479,0.00491421265955887
"exp",10000,200,100,100,100,4.51054427830968e-05,0.00232618655360239
"exp",10000,500,100,100,100,6.27400864141237e-06,0.000612392278492735
"exp",1e+05,10,100,100,100,0.0647531836528069,0.0589538113173912
"exp",1e+05,20,100,100,100,0.0156990669740771,0.0282086646996904
"exp",1e+05,50,100,100,100,0.00289395848999266,0.0108790681900719
"exp",1e+05,100,100,100,100,0.000930526382988319,0.00606607270149107
"exp",1e+05,200,100,100,100,0.000246085473088897,0.00361405366874533
"exp",1e+05,500,100,100,100,3.83516430156305e-05,0.0017413769269333
"exp",1e+06,10,100,100,100,0.0932223378057825,0.0557446577285882
"exp",1e+06,20,100,100,100,0.0180035239396384,0.0190190469531808
"exp",1e+06,50,100,100,100,0.000893704838003032,0.00334841886360664
"exp",1e+06,100,100,100,100,0.000203834824147634,0.00141171633126214
"exp",1e+06,200,100,100,100,5.70779271656647e-05,0.000729356413357891
"exp",1e+06,500,100,100,100,9.03842493426055e-06,0.000283159438986331
"gamma",10000,10,100,100,100,0.562000382640364,0.254907972466046
"gamma",10000,20,100,100,100,0.155686199589732,0.109609121434742
"gamma",10000,50,100,100,100,0.0345211321045099,0.0450534662995287
"gamma",10000,100,100,100,100,0.0122376286328126,0.020964420615037
"gamma",10000,200,100,100,100,0.00401073993519458,0.0113283177617868
"gamma",10000,500,100,100,100,0.00108673812522829,0.00354148373002317
"gamma",1e+05,10,100,100,100,0.880543171092955,0.237347623527428
"gamma",1e+05,20,100,100,100,0.227658915299922,0.107397985954914
"gamma",1e+05,50,100,100,100,0.0485885556019202,0.0459145968956
"gamma",1e+05,100,100,100,100,0.0165421164865256,0.0219570494187938
"gamma",1e+05,200,100,100,100,0.00621184682630701,0.0120790170170949
"gamma",1e+05,500,100,100,100,0.00342802011521417,0.00710694008154679
"gamma",1e+06,10,100,100,100,1.20485663028527,0.237408844106598
"gamma",1e+06,20,100,100,100,0.305451789706014,0.120545529445866
"gamma",1e+06,50,100,100,100,0.0743075885288417,0.0724567491698545
"gamma",1e+06,100,100,100,100,0.0439039551413153,0.0587657650441397
"gamma",1e+06,200,100,100,100,0.036181120163761,0.0529153637934942
"gamma",1e+06,500,100,100,100,0.0415993206547573,0.0596404453935102
"lognormal",10000,10,100,100,100,6.7477771441714,0.245405792448708
"lognormal",10000,20,100,100,100,1.15415119839416,0.105620324167739
"lognormal",10000,50,100,100,100,0.180780967665991,0.0422172053019404
"lognormal",10000,100,100,100,100,0.0467805574418161,0.0216912367870336
"lognormal",10000,200,100,100,100,0.013263046429669,0.00982294279403322
"lognormal",10000,500,100,100,100,0.00238962705102313,0.00286437148525875
"lognormal",1e+05,10,100,100,100,30.2898767627364,0.248837645909327
"lognormal",1e+05,20,100,100,100,2.97232641625969,0.0820018874876114
"lognormal",1e+05,50,100,100,100,0.341491402246524,0.029882669482773
"lognormal",1e+05,100,100,100,100,0.0707636873285519,0.0125213703483896
"lognormal",1e+05,200,100,100,100,0.0192664240955055,0.00558489898074185
"lognormal",1e+05,500,100,100,100,0.00293380849271489,0.00153753025902552
"lognormal",1e+06,10,100,100,100,135.125165064028,0.214559475865681
"lognormal",1e+06,20,100,100,100,8.88877617877978,0.10781427882798
"lognormal",1e+06,50,100,100,100,0.731801773847547,0.0391967587422115
"lognormal",1e+06,100,100,100,100,0.138082617994864,0.019962691124063
"lognormal",1e+06,200,100,100,100,0.0421149148545228,0.0100532574041281
"lognormal",1e+06,500,100,100,100,0.00905657460726797,0.00446444156975485
"normal",10000,10,100,100,100,0.0770392937127891,0.245764937114276
"normal",10000,20,100,100,100,0.0200064574570497,0.100441576868565
"normal",10000,50,100,100,100,0.00278633522276686,0.0428891950833859
"normal",10000,100,100,100,100,0.000703550633463237,0.0192530037441684
"normal",10000,200,100,100,100,0.000208932011382785,0.00877529866222722
"normal",10000,500,100,100,100,4.11794433148316e-05,0.00289183611515909
"normal",1e+05,10,100,100,100,0.0949907918320096,0.236875349665875
"normal",1e+05,20,100,100,100,0.023364577415603,0.10695083820392
"normal",1e+05,50,100,100,100,0.00348871122126002,0.0345147957930749
"normal",1e+05,100,100,100,100,0.00078493672492914,0.0141964898263686
"normal",1e+05,200,100,100,100,0.000175204486993607,0.00588669871768797
"normal",1e+05,500,100,100,100,2.62800845084712e-05,0.001576548695768
"normal",1e+06,10,100,100,100,0.101754164818674,0.211824057498248
"normal",1e+06,20,100,100,100,0.0239484362576623,0.0975574744953774
"normal",1e+06,50,100,100,100,0.00375975642842241,0.0384333576005884
"normal",1e+06,100,100,100,100,0.000956488866358996,0.018252154099755
"normal",1e+06,200,100,100,100,0.000244869868271053,0.0094836020884104
"normal",1e+06,500,100,100,100,3.81999511737376e-05,0.004156157564139
"weibull",10000,10,100,100,100,0.191017122276612,0.281837236498855
"weibull",10000,20,100,100,100,0.0560732042072923,0.139896156177782
"weibull",10000,50,100,100,100,0.014328184251629,0.0523158341873405
"weibull",10000,100,100,100,100,0.00504462136358961,0.0270699283736058
"weibull",10000,200,100,100,100,0.00183177855229042,0.0134895099878941
"weibull",10000,500,100,100,100,0.000495209143591637,0.00436132465620267
"weibull",1e+05,10,100,100,100,0.236941877977253,0.312064222110246
"weibull",1e+05,20,100,100,100,0.0807860439553624,0.136572158507755
"weibull",1e+05,50,100,100,100,0.0162396949907852,0.054803802858849
"weibull",1e+05,100,100,100,100,0.00540613528013637,0.0270441529073869
"weibull",1e+05,200,100,100,100,0.00291156119339576,0.0141889796899923
"weibull",1e+05,500,100,100,100,0.00189655992059852,0.00549675849352206
"weibull",1e+06,10,100,100,100,0.292915189455612,0.269240850627655
"weibull",1e+06,20,100,100,100,0.0831197447145823,0.1250427524033
"weibull",1e+06,50,100,100,100,0.0204290685844608,0.0478550401828252
"weibull",1e+06,100,100,100,100,0.00657422367692925,0.02650512402819
"weibull",1e+06,200,100,100,100,0.00218583683110774,0.0134354021484032
"weibull",1e+06,500,100,100,100,0.000488899229210802,0.00543682728579734
