"Model","n","B","Time (Raw)","Time (Sym-EW)","Time (Sym-QU)","Speed-up (EW)","Speed-up (QU)"
"exp",10000,10,0.00232599999991362,0.00146100000037404,0.00244899999976042,1.95727575943255,1.06197772367167
"exp",10000,20,0.00238100000012491,0.00130999999957567,0.0025250000005617,2.02301414084583,1.05873706606101
"exp",10000,50,0.00252400000048511,0.00157499999989523,0.0025980000000709,1.95134490074898,1.10402208500711
"exp",10000,100,0.00226300000037008,0.00169699999973818,0.00270000000012806,1.67193439049766,0.94547845283341
"exp",10000,200,0.00219800000028044,0.00193200000018987,0.00347999999955937,1.39331587920334,0.79320281024488
"exp",10000,500,0.0022020000001794,0.00239900000019407,0.00378099999953702,1.12928050341319,0.642042924732289
"exp",1e+05,10,0.0243429999996006,0.00506299999957264,0.0177019999998738,5.93555620655237,1.43433066409294
"exp",1e+05,20,0.0247409999996889,0.00536599999973259,0.0182339999996912,5.25247109798438,1.421844833601
"exp",1e+05,50,0.0240559999997058,0.00744299999989744,0.018699000000197,3.62789965115057,1.35138905011701
"exp",1e+05,100,0.0235240000000485,0.00795899999974063,0.0196060000005382,3.25170259530589,1.26039099115387
"exp",1e+05,200,0.0240239999994665,0.00914800000026298,0.0207209999995102,2.99172852686402,1.23241031224008
"exp",1e+05,500,0.0233200000002107,0.00896200000014506,0.0205120000002935,2.89922211307167,1.16789911169809
"exp",1e+06,10,0.247564999999231,0.0458110000005545,0.196957999999359,6.3207728116636,1.30704099088587
"exp",1e+06,20,0.243264000000228,0.0527709999999642,0.203067999999825,5.33397465435818,1.24062472734092
"exp",1e+06,50,0.243900000000489,0.0705069999998523,0.208659000000116,3.67398237466934,1.21602529631024
"exp",1e+06,100,0.244768000000477,0.0770179999998072,0.210977999999828,3.43822291028023,1.19499435903718
"exp",1e+06,200,0.243526000000711,0.0840490000005521,0.218537000000011,3.145299934152,1.1433368828279
"exp",1e+06,500,0.242469999999463,0.0781080000003131,0.218944999999658,3.3142964324659,1.13844925243151
"lognormal",10000,10,0.00378500000038184,0.00181499999997322,0.00296800000012445,2.66171930760948,1.46769615533693
"lognormal",10000,20,0.00397400000016205,0.00192400000002817,0.00324099999986357,2.49578732955674,1.51322910390176
"lognormal",10000,50,0.00396999999975378,0.00211399999981222,0.00307800000038696,2.26058537509267,1.42068961691068
"lognormal",10000,100,0.00398599999974249,0.00248899999989954,0.0034979999998759,1.85392939947075,1.29375136955004
"lognormal",10000,200,0.00382299999985844,0.00316600000025937,0.003820999999778,1.41814311086748,1.09186355847541
"lognormal",10000,500,0.00382600000024831,0.00398399999966205,0.00519100000013714,1.10980868391971,0.85230587617849
"lognormal",1e+05,10,0.0433490000004967,0.00489699999963341,0.0189490000007791,10.3591265526082,2.47968093254154
"lognormal",1e+05,20,0.0419879999999685,0.00593100000017147,0.0183359999999084,8.84357687502582,2.35895333346735
"lognormal",1e+05,50,0.0418399999997637,0.00839899999961199,0.0189249999999302,5.68350453379421,2.31273028911483
"lognormal",1e+05,100,0.0423899999998975,0.00860199999950419,0.0193800000000629,5.31957539698136,2.27745251897606
"lognormal",1e+05,200,0.0423400000000693,0.00944899999990594,0.0206279999999679,4.84564373330509,2.15979010968445
"lognormal",1e+05,500,0.0423999999994849,0.00929999999966822,0.0212349999997823,4.86400737155653,2.08276183848914
"lognormal",1e+06,10,0.427485999999917,0.0447099999994389,0.197050000000003,11.0530721215823,2.25688685623822
"lognormal",1e+06,20,0.426510000000009,0.049676000000225,0.202977000000305,9.77019523344611,2.18825803166226
"lognormal",1e+06,50,0.427783999999752,0.0714749999996566,0.206921000000468,6.39648741776929,2.14642402931137
"lognormal",1e+06,100,0.425389999999606,0.0758230000004696,0.213352999999959,6.04030952221937,2.06167565534565
"lognormal",1e+06,200,0.430023999999685,0.0827859999997018,0.220712999999698,5.57115138619749,2.01974603609215
"lognormal",1e+06,500,0.428066000000152,0.0763810000005324,0.220188000000038,5.89883498162837,2.00642400644218
"normal",10000,10,0.00257799999974668,0.00184099999997125,0.00321900000027381,1.72908012387869,1.02022833100711
"normal",10000,20,0.00256800000013027,0.00217500000007567,0.00311399999979767,1.65845590641043,0.996345766309923
"normal",10000,50,0.00276799999963259,0.00202900000000954,0.00325999999990745,1.8630405220256,1.02483444346236
"normal",10000,100,0.00269599999985075,0.00181999999959953,0.00335800000009476,1.7564485843242,0.926194483382074
"normal",10000,200,0.00272699999999895,0.00225699999989592,0.00398000000002503,1.58004141656762,0.802797286634504
"normal",10000,500,0.00256599999940954,0.00277599999964877,0.00528000000015891,1.06707939850008,0.568125946786129
"normal",1e+05,10,0.0272469999999157,0.00674200000021665,0.0189380000005622,4.74748142455675,1.52448497382315
"normal",1e+05,20,0.0268570000002219,0.00730299999976705,0.0195529999994032,4.3341656180784,1.49069524502189
"normal",1e+05,50,0.0263109999999142,0.00691599999992468,0.019149999999805,4.34897451026499,1.43258814169022
"normal",1e+05,100,0.0269369999998162,0.00790499999976601,0.0207040000000998,3.85866741360902,1.41321339989945
"normal",1e+05,200,0.0269159999999683,0.00890200000056938,0.0209280000003491,3.40951822365809,1.35335659645536
"normal",1e+05,500,0.0275859999994718,0.00961200000022654,0.0218819999999541,3.33411703123939,1.33696715443586
"normal",1e+06,10,0.276114999999176,0.0582820000003121,0.193112000000459,5.20518115972077,1.48115676403074
"normal",1e+06,20,0.274919000000096,0.0600129999997589,0.198441000000224,4.85499284262862,1.42856750790559
"normal",1e+06,50,0.276865000000093,0.062205000000351,0.203690999999657,4.74899283147273,1.40577855922644
