"Model","n","B","Time (Raw)","Time (Sym-EW)","Time (Sym-QU)","Speed-up (EW)","Speed-up (QU)"
"gamma",10000,10,0.0645980000000418,0.00236000000030617,0.00311000000049535,36.7981109967226,22.4721289637607
"gamma",10000,20,0.0643360000002577,0.00259800000030373,0.00362399999989429,28.309070161877,19.1074217199641
"gamma",10000,50,0.0649680000006047,0.00350899999956892,0.00509100000039325,20.3334845979875,14.2669485625385
"gamma",10000,100,0.0638030000003928,0.00496599999963655,0.00672199999983423,13.768243388448,9.94499276019596
"gamma",10000,200,0.0654839999997203,0.00802600000007078,0.0102549999991606,8.67632534636929,6.70819312601011
"gamma",10000,500,0.0638170000005193,0.0162029999998922,0.0207519999999931,4.30557427437987,3.25717175468514
"gamma",1e+05,10,0.697401000000493,0.00519999999986612,0.017997999999774,153.126025473165,40.4104686816843
"gamma",1e+05,20,0.696174999999668,0.00692699999954493,0.0190269999998709,115.014219954941,37.8953421628925
"gamma",1e+05,50,0.695071000000607,0.00895099999991362,0.0205740000004007,85.5355422100379,35.0680152977395
"gamma",1e+05,100,0.695178000000655,0.0108529999998427,0.0229470000001602,67.4275685235417,31.2032019012841
"gamma",1e+05,200,0.694011999999799,0.0150059999997902,0.027448000000426,49.5782604358796,26.0044346734263
"gamma",1e+05,500,0.690256000000576,0.0218950000002806,0.0367120000003342,33.2786735710493,19.190763802372
"gamma",1e+06,10,5.01206500000045,0.0425059999998048,0.197001999999935,125.600108077437,26.2830249823286
"gamma",1e+06,20,5.02837999999996,0.0537309999989666,0.202220000000118,100.107053464679,25.6053222378938
"gamma",1e+06,50,5.03430900000042,0.0669019999999291,0.204522000000099,78.9766107445628,25.1395125172908
"gamma",1e+06,100,5.02381500000019,0.0749489999997167,0.212605000000331,70.9477222915315,24.1805810554024
"gamma",1e+06,200,4.97412699999954,0.0845719999999419,0.222468999999954,61.5319126459191,22.8429062592568
"gamma",1e+06,500,4.98981299999943,0.0840779999998194,0.228007000000012,60.696636397207,22.2856380464463
"weibull",10000,10,0.0292959999998275,0.00184500000017579,0.00303900000026624,19.9325145232066,11.3085687394886
"weibull",10000,20,0.0290829999997222,0.00209700000025623,0.00313700000003155,17.5277724474377,10.8787440526496
"weibull",10000,50,0.0301970000007277,0.00222899999984657,0.00334699999987788,15.9220594157171,10.4046574916185
"weibull",10000,100,0.0290579999999172,0.00277400000032503,0.00389200000010897,12.4862007364586,8.75412535960696
"weibull",10000,200,0.0291529999996128,0.00344599999982165,0.00513500000037311,9.60763050796576,6.89980403909089
"weibull",10000,500,0.0288529999996681,0.0063020000000397,0.00711499999962689,5.59220373071535,4.61202552649279
"weibull",1e+05,10,0.523041999999725,0.00593399999946995,0.0176659999995318,109.010832147841,30.732271508907
"weibull",1e+05,20,0.522169999999445,0.00666100000009465,0.0188109999998414,85.5648382373014,28.706286322119
"weibull",1e+05,50,0.519257999999623,0.00796399999978894,0.0203010000000213,69.7147427195865,26.7937091427969
"weibull",1e+05,100,0.518504000000175,0.00906300000015471,0.0211649999997462,61.3081396116246,25.2356800002176
"weibull",1e+05,200,0.519951999999976,0.0111199999996461,0.0232509999998147,49.3968250089002,23.1234929628899
"weibull",1e+05,500,0.52248499999987,0.0145569999990548,0.0273940000004659,39.2884844548883,20.0056950104273
"weibull",1e+06,10,3.01095999999977,0.0425990000008169,0.197846000000311,74.5931962696297,15.8364500827717
"weibull",1e+06,20,3.01556699999986,0.0564800000005926,0.203558999999484,57.5233744900902,15.4176104444534
"weibull",1e+06,50,3.0123200000004,0.0649670000004553,0.212320999999851,48.7102361946589,14.9087474651244
"weibull",1e+06,100,3.00882699999941,0.0714099999996397,0.215924000000436,44.4143654796904,14.5092714005627
"weibull",1e+06,200,3.01307000000005,0.0812119999993301,0.222894000000364,39.346485392616,13.9700799448701
"weibull",1e+06,500,3.01767200000041,0.0786419999998761,0.226168000000136,40.395112078998,13.8377095047098
