"Dataset","Preferred_Model","Raw MLE (s)","Symbolic MLE (s)","Speed-up","Speed-up IQR","Median Abs Param Diff","Max Abs Param Diff","N Windows"
"MIMIC-III","normal",0.00800000000162981,0.00099999998928979,8.00000008731149,1,0.192607396312467,3.87400775727385,3806
"BIG IDEAs","lognormal",0.00199999997857958,0.00100000001839362,1.99999994179234,1,0.000245886785749046,0.000534192616243087,32
