"Dataset","Window","WindowStart","WindowEnd","Model","Raw_Time","Sym_Time","Raw_NLL","Sym_NLL","SpeedUp","Param1_Name","Param1_Raw","Param1_Sym","Param2_Name","Param2_Raw","Param2_Sym","Param_AbsDiff","Raw_Conv","Sym_Conv"
"BIG IDEAs",1,1,1000,"gamma",0.00799999997252598,0.00200000000768341,4081.29956162397,2390.59415243488,3.99999997089617,"shape",46.9979064110035,47.1421490604493,"rate",0.474990099110137,0.476440506081297,0.0728465282084873,TRUE,TRUE
"BIG IDEAs",1,1,1000,"lognormal",0.00099999998928979,0.00099999998928979,4085.53044112131,2393.2074923112,1,"meanlog",4.58388836087122,4.58395196713246,"sdlog",0.147003903632506,0.146405554143414,0.000330977875167185,TRUE,TRUE
"BIG IDEAs",2,51,1050,"gamma",0.00799999997252598,0.00100000001839362,4006.37861164875,2318.59502818005,7.99999982537702,"shape",54.4174760689215,54.3433695353776,"rate",0.551409485104535,0.550585192030374,0.0374654133089936,TRUE,TRUE
"BIG IDEAs",2,51,1050,"lognormal",0.00200000000768341,0.00200000000768341,4005.03434629516,2316.15480395469,1,"meanlog",4.58274689601668,4.58287464572589,"sdlog",0.135789708522885,0.135624803105051,0.000146327563523049,TRUE,TRUE
"BIG IDEAs",3,101,1100,"gamma",0.0089999999909196,0.00200000000768341,3995.05075843161,2308.07982029073,4.49999997817213,"shape",55.3512482748012,55.136562119339,"rate",0.562512618513858,0.560540754117896,0.108329009929061,TRUE,TRUE
"BIG IDEAs",3,101,1100,"lognormal",0.00099999998928979,0.00100000001839362,3992.54652075561,2304.25198108674,0.99999997089617,"meanlog",4.57998104653596,4.5795781180886,"sdlog",0.134475655495122,0.134452125002055,0.000213229470216528,TRUE,TRUE
"BIG IDEAs",4,151,1150,"gamma",0.00800000000162981,0.00200000000768341,3988.51627179729,2304.85617698648,3.99999998544808,"shape",57.4032223638353,56.8155347649098,"rate",0.576725466874707,0.571028822134131,0.296692121833066,TRUE,TRUE
"BIG IDEAs",4,151,1150,"lognormal",0.00200000000768341,0.00099999998928979,3987.72482028801,2302.77048987764,2.00000002910383,"meanlog",4.59175416179309,4.59130605751425,"sdlog",0.132262392390309,0.132667976598209,0.000426844243369279,TRUE,TRUE
"BIG IDEAs",5,201,1200,"gamma",0.00699999998323619,0.00100000001839362,3972.98542003087,2288.77246530559,6.99999985448085,"shape",58.978370066757,58.4904539064212,"rate",0.593827300298224,0.588992140841617,0.246375659896235,TRUE,TRUE
"BIG IDEAs",5,201,1200,"lognormal",0.00199999997857958,0.00100000001839362,3971.50383689988,2285.98304715129,1.99999994179234,"meanlog",4.58983596483442,4.58963925120519,"sdlog",0.130384198313645,0.130649527661757,0.00023102148867131,TRUE,TRUE
"BIG IDEAs",6,251,1250,"gamma",0.00800000000162981,0.00200000000768341,4122.39298142774,2435.85937305098,3.99999998544808,"shape",45.221802264988,44.8727540903662,"rate",0.447020470971022,0.443587795641776,0.176240424975558,TRUE,TRUE
"BIG IDEAs",6,251,1250,"lognormal",0.00200000000768341,0.00099999998928979,4113.97743502291,2426.88406473469,2.00000002910383,"meanlog",4.6056364274356,4.60551761900172,"sdlog",0.147993204366093,0.148388864458804,0.000257234263297268,TRUE,TRUE
"BIG IDEAs",7,301,1300,"gamma",0.00800000000162981,0.00100000001839362,4127.61349860386,2440.42040830724,7.99999985448085,"shape",45.4967565696573,45.2304725888376,"rate",0.446085796003885,0.443419208931764,0.134475283945897,TRUE,TRUE
"BIG IDEAs",7,301,1300,"lognormal",0.00200000000768341,0.00099999998928979,4122.67782453117,2434.85449340818,2.00000002910383,"meanlog",4.61385495322603,4.61392514829237,"sdlog",0.148063344136184,0.148302722887998,0.000154786909075624,TRUE,TRUE
"BIG IDEAs",8,351,1350,"gamma",0.00700000001234002,0.00200000000768341,4078.11937572069,2391.12825804391,3.49999999272404,"shape",49.3358375665786,49.1025945344383,"rate",0.488376489862223,0.485949247814297,0.117835137094149,TRUE,TRUE
"BIG IDEAs",8,351,1350,"lognormal",0.00199999997857958,0.00100000001839362,4075.11946633451,2387.31226395804,1.99999994179234,"meanlog",4.60515010657651,4.60535478273156,"sdlog",0.142420839099766,0.14253425371512,0.000159045385198883,TRUE,TRUE
