"Dataset","Window","WindowStart","WindowEnd","Model","Raw_Time","Sym_Time","Raw_NLL","Sym_NLL","SpeedUp","Param1_Name","Param1_Raw","Param1_Sym","Param2_Name","Param2_Raw","Param2_Sym","Param_AbsDiff","Raw_Conv","Sym_Conv"
"MIMIC-III",13,6001,16000,"gamma",0.0579999999899883,0.00100000001839362,30905.3147142913,9638.21031231668,57.9999989231583,"shape",943.77482936282,1101.2513491432,"rate",5.77087358577422,6.7196635250959,79.2126548598521,TRUE,TRUE
"MIMIC-III",14,6501,16500,"normal",0.00900000002002344,0.00099999998928979,31326.2769156474,10100.2678455382,9.00000011641532,"mu",163.499899772739,163.872952573646,"sigma",5.5493982027488,5.26266588114014,0.329892561257933,TRUE,TRUE
"MIMIC-III",14,6501,16500,"gamma",0.0590000000083819,0.00200000000768341,31356.6296941478,10134.5823697999,29.4999998908606,"shape",861.381688587027,958.536172317469,"rate",5.26839378539014,5.84941181254784,48.8677508787998,TRUE,TRUE
"MIMIC-III",15,7001,17000,"normal",0.00700000001234002,0.00099999998928979,31444.020217732,10128.0963173717,7.00000008731149,"mu",163.345118822143,163.801279012409,"sigma",5.61512321530089,5.28160758549015,0.394837910038721,TRUE,TRUE
"MIMIC-III",15,7001,17000,"gamma",0.0929999999934807,0.00099999998928979,31468.9803229888,10162.2049320354,93.0000009895302,"shape",840.980454866509,951.01105135675,"rate",5.14845907083537,5.80603009368442,55.3440837565451,TRUE,TRUE
"MIMIC-III",16,7501,17500,"normal",0.0100000000093132,0.00099999998928979,31314.6688703133,10033.02683357,10.0000001164153,"mu",163.348300002385,163.824738884568,"sigma",5.54296017047205,5.21958599980653,0.399906526424117,TRUE,TRUE
"MIMIC-III",16,7501,17500,"gamma",0.0659999999916181,0.00200000000768341,31336.4649055354,10063.1546984358,32.9999998690328,"shape",863.295399853231,974.698371978557,"rate",5.28499547292151,5.94978857313373,56.0338826127693,TRUE,TRUE
"MIMIC-III",17,8001,18000,"normal",0.00800000000162981,0.00099999998928979,31383.1831622978,10126.9429533679,8.00000008731149,"mu",163.411098979965,163.934089405178,"sigma",5.58106821014382,5.27758099629756,0.413238819529932,TRUE,TRUE
"MIMIC-III",17,8001,18000,"gamma",0.0719999999855645,0.00200000000768341,31406.0849516651,10157.8650600713,35.9999998544808,"shape",852.05377103893,954.876010900547,"rate",5.21418714876123,5.8249218032758,51.7164872580655,TRUE,TRUE
"MIMIC-III",18,8501,18500,"normal",0.0089999999909196,0.00099999998928979,31456.4757884868,10172.3258320541,9.00000008731149,"mu",163.548488828512,164.096810664687,"sigma",5.62211828678807,5.30305940385862,0.433690359551897,TRUE,TRUE
